0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:20:11 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:20:11 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:26 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:29 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:30 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:36 +0900] "GET /ClientTest/sub/test/test.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:55 +0900] "GET /ClientTest/sub/test.html HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:57 +0900] "GET /ClientTest/test/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:21:59 +0900] "GET /ClientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:22:02 +0900] "GET /ClientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:29:10 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:29:11 +0900] "GET /ClientTest/sub/%E2%80%AAD:/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:29:48 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:29:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:29:49 +0900] "GET /ClientTest/sub/%E2%80%AAD:/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:01 +0900] "GET /ClientTest/sub/images/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 404 899
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:09 +0900] "GET /ClientTest/sub/%E2%80%AAD:/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:11 +0900] "GET /ClientTest/sub/test/test.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:13 +0900] "GET /ClientTest/test/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:35 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:36 +0900] "GET /ClientTest/images/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 200 61979
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:39 +0900] "GET /ClientTest/sub/%E2%80%AAD:/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:30:45 +0900] "GET /ClientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:34:21 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:34:24 +0900] "GET /google.com HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:34:28 +0900] "GET /google.com HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:34:44 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:40:19 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:55 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:57 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:58 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:58 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:58 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:58 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:03 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:07 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:09 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:45:10 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 9315
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:46:02 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:50:33 +0900] "GET /ClientTest/sub/Ex11_link.html HTTP/1.1" 200 16231
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:11:54 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:13:51 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:04 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:05 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:06 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:08 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:08 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:08 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:08 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:09 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:13 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:14:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
